"Sem Assunto","normal"
"RE: Sem Assunto","normal"
"Reclamação","alta"
"Tamanho diferente","alta"
"RE: Dúvidas","normal"
"Entrega","alta"
"Elogios","normal"
"Elogios e Sugestões","normal"
"Dúvida","normal"
"Planos e Formas de Pagamento","normal"
"COnfirmação de data de entrega","normal"
"RE: COnfirmação de data de entrega","normal"
"Dúvidas sobre o programa","normal"
"RE: Dúvidas sobre o programa","normal"
"Como troco um produto?","alta"
"RE: Como troco um produto?","normal"
"Dúvidas sobre cancelamento do programa","alta"
"RE: Dúvidas sobre cancelamento do programa","alta"
"Informação","normal"
"RE: Informação","normal"
"Cadastro","normal"
"RE: Cadastro","normal"
"Data de Entrega","normal"
"Coleta de Pedido","normal"
"RE: Coleta de Pedido","normal"
"troca de produto","alta"
"Entrega","normal"
"Formas de Pagamento","normal"
"Esclarecer uma dúvida","normal"
"Como está meu pedido?","alta"
"Acompanhamento","alta"
"RE: Acompanhamento","alta"
